t_ms,sum_junct,D,sat,G,G2,U,sum_junct2,Dz
958.61,0,0,0,100,-868,100,100,0
961.35,0,0,0,100,-814,100,100,0
964.09,0,0,0,100,-773,100,100,0
966.84,0,0,0,100,-732,100,100,0
969.59,0,0,0,100,-675,100,100,0
972.32,0,0,0,100,-610,100,100,0
975.07,0,0,0,100,-521,100,100,0
977.81,0,0,0,100,-457,100,100,0
980.55,0,0,0,100,-347,100,100,0
983.29,0,0,0,100,-293,100,100,0
986.03,0,0,0,100,-223,100,100,0
988.77,0,0,0,100,-196,100,100,0
991.52,0,0,0,100,-47,100,100,0
994.23,0,0,0,100,-199,100,100,0
996.96,0,0,0,100,-155,100,100,0
999.72,0,0,0,100,6,100,100,0
1002.37,0,0,0,100,-38,100,100,0
1005.14,0,0,0,100,-54,100,100,0
1007.91,0,0,0,100,102,100,100,0
1010.71,0,0,0,100,0,100,100,0
1013.40,0,0,0,100,-38,100,100,0
1016.16,0,0,0,100,-6,100,100,0
1018.90,0,0,0,100,-103,100,100,0
1021.72,0,0,0,100,-149,100,100,0
1024.55,0,0,0,100,-52,100,100,0
1027.32,0,0,0,100,-317,100,100,0
1030.15,0,0,0,100,-31,100,100,0
1032.93,0,0,0,100,-66,100,100,0
1035.71,0,0,0,100,-4,100,100,0
1038.44,0,0,0,100,914,100,100,0
1041.25,0,0,0,100,-111,100,100,0
1044.06,0,0,0,100,142,100,100,0
1046.86,0,0,0,100,873,100,100,0
1049.67,0,0,0,100,264,100,100,0
1052.46,0,0,0,100,540,100,100,0
1055.28,0,0,0,100,424,100,100,0
1058.09,0,0,0,100,598,100,100,0
1060.91,0,0,0,100,1041,100,100,0
1063.75,0,0,0,100,1126,100,100,0
1066.60,0,0,0,100,949,100,100,0
1069.40,0,0,0,100,968,100,100,0
1072.22,0,0,0,100,1114,100,100,0
1075.07,0,0,0,100,1123,100,100,0
1077.91,0,0,0,100,1356,100,100,0
1080.76,0,0,0,100,1257,100,100,0
1083.60,0,0,0,100,1281,100,100,0
1086.44,0,0,0,100,1229,100,100,0
1089.29,0,0,0,100,1378,100,100,0
1092.15,0,0,0,100,1267,100,100,0
1095.00,0,0,0,100,1356,100,100,0
1097.85,0,0,0,100,1308,100,100,0
1100.70,0,0,0,100,1307,100,100,0
1103.53,0,0,0,100,1237,100,100,0
1106.38,0,0,0,100,1240,100,100,0
1109.22,0,0,0,100,1096,100,100,0
1112.08,0,0,0,100,1107,100,100,0
1114.92,0,0,0,100,1017,100,100,0
1117.77,-1,-42,-42,100,1017,100,99,1
1120.80,-1,-7,-7,100,935,100,99,1
1123.64,-1,-7,-7,100,927,100,99,1
1126.51,-1,-7,-7,100,834,100,99,1
1129.36,-1,-7,-7,100,939,100,99,1
1132.21,-1,-7,-7,100,922,100,99,1
1135.06,-1,-7,-7,100,718,100,99,1
1137.92,-1,-7,-7,100,573,100,99,1
1140.77,-1,-7,-7,100,401,100,99,1
1143.63,-1,-7,-7,100,240,100,99,1
1146.48,-1,-7,-7,100,231,100,99,1
1149.34,-1,-7,-7,100,5,100,99,1
1152.09,-1,-7,-7,100,-274,100,99,1
1154.96,-1,-7,-7,100,81,100,99,1
1157.76,-1,-7,-7,100,54,100,99,1
1160.56,-1,-7,-7,100,-238,100,99,1
1163.42,-1,-7,-7,100,-183,100,99,1
1166.28,-1,-7,-7,100,-323,100,99,1
1169.14,-1,-7,-7,100,-299,100,99,1
1172.02,0,34,34,100,-187,100,100,0
1174.96,0,0,0,100,-197,100,100,0
1177.79,0,0,0,100,-96,100,100,0
1180.56,0,0,0,100,33,100,100,0
1183.31,0,0,0,100,120,100,100,0
1186.11,0,0,0,100,-341,100,100,0
1188.92,0,0,0,100,-110,100,100,0
1191.74,0,0,0,100,-409,100,100,0
1194.58,0,0,0,100,-243,100,100,0
1197.41,0,0,0,100,-111,100,100,0
1200.24,0,0,0,100,-203,100,100,0
1203.06,0,0,0,100,-85,100,100,0
1205.83,0,0,0,100,-31,100,100,0
1208.60,0,0,0,100,-159,100,100,0
1211.42,0,0,0,100,-32,100,100,0
1214.19,0,0,0,100,-99,100,100,0
1216.98,0,0,0,100,-253,100,100,0
1219.80,0,0,0,100,-141,100,100,0
1222.63,0,0,0,100,-153,100,100,0
1225.45,0,0,0,100,-96,100,100,0
1228.23,0,0,0,100,-198,100,100,0
1231.05,0,0,0,100,-162,100,100,0
1233.86,0,0,0,100,-233,100,100,0
1236.69,0,0,0,100,-167,100,100,0
1239.52,0,0,0,100,-215,100,100,0
1242.34,0,0,0,100,-416,100,100,0
1245.16,0,0,0,100,-97,100,100,0
1247.94,0,0,0,100,-239,100,100,0
1250.76,0,0,0,100,-125,100,100,0
1253.58,0,0,0,100,-301,100,100,0
1256.39,0,0,0,100,-162,100,100,0
1259.21,0,0,0,100,-238,100,100,0
1262.04,0,0,0,100,-149,100,100,0
1264.87,0,0,0,100,-249,100,100,0
1267.70,0,0,0,100,-108,100,100,0
1270.52,0,0,0,100,-237,100,100,0
1273.34,0,0,0,100,-77,100,100,0
1276.12,0,0,0,100,-148,100,100,0
1278.94,0,0,0,100,-132,100,100,0
1281.75,0,0,0,100,-173,100,100,0
1284.58,0,0,0,100,-113,100,100,0
1287.40,0,0,0,100,-117,100,100,0
1290.23,0,0,0,100,-86,100,100,0
1293.01,0,0,0,100,-77,100,100,0
1295.78,0,0,0,100,-59,100,100,0
1298.57,0,0,0,100,-75,100,100,0
1301.33,0,0,0,100,-66,100,100,0
1304.10,0,0,0,100,-53,100,100,0
1306.88,0,0,0,100,-49,100,100,0
1309.66,0,0,0,100,-41,100,100,0
1312.43,0,0,0,100,-38,100,100,0
1315.20,0,0,0,100,-31,100,100,0
1318.00,0,0,0,100,-46,100,100,0
1320.77,0,0,0,100,-21,100,100,0
1323.56,0,0,0,100,-21,100,100,0
1326.33,0,0,0,100,-59,100,100,0
1329.11,0,0,0,100,-47,100,100,0
1331.89,0,0,0,100,-33,100,100,0
1334.66,0,0,0,100,-11,100,100,0
1337.45,0,0,0,100,-24,100,100,0
1340.23,0,0,0,100,-54,100,100,0
1343.01,0,0,0,100,-23,100,100,0
1345.79,0,0,0,100,-32,100,100,0
1348.56,0,0,0,100,-11,100,100,0
1351.32,0,0,0,100,-59,100,100,0
1354.10,0,0,0,100,-9,100,100,0
1356.85,0,0,0,100,-46,100,100,0
1359.62,0,0,0,100,2,100,100,0
1362.36,0,0,0,100,-50,100,100,0
1365.12,0,0,0,100,-4,100,100,0
1367.84,0,0,0,100,-22,100,100,0
1370.63,0,0,0,100,-53,100,100,0
1373.40,0,0,0,100,-31,100,100,0
1376.18,0,0,0,100,-30,100,100,0
1378.96,0,0,0,100,-16,100,100,0
1381.73,0,0,0,100,-1,100,100,0
1384.48,0,0,0,100,-33,100,100,0
1387.26,0,0,0,100,-9,100,100,0
1390.00,0,0,0,100,-90,100,100,0
1392.78,0,0,0,100,422,100,100,0
1395.57,0,0,0,100,-98,100,100,0
1398.33,0,0,0,100,515,100,100,0
1401.14,0,0,0,100,119,100,100,0
1403.94,0,0,0,100,128,100,100,0
1406.75,0,0,0,100,147,100,100,0
1409.57,0,0,0,100,422,100,100,0
1412.37,0,0,0,100,260,100,100,0
1415.17,0,0,0,100,714,100,100,0
1417.97,0,0,0,100,544,100,100,0
1420.78,0,0,0,100,609,100,100,0
1423.58,0,0,0,100,550,100,100,0
1426.37,0,0,0,100,795,100,100,0
1429.16,0,0,0,100,707,100,100,0
1431.95,0,0,0,100,782,100,100,0
1434.78,0,0,0,100,747,100,100,0
1437.59,0,0,0,100,861,100,100,0
1440.40,0,0,0,100,739,100,100,0
1443.20,0,0,0,100,894,100,100,0
1446.01,0,0,0,100,762,100,100,0
1448.80,0,0,0,100,844,100,100,0
1451.60,0,0,0,100,779,100,100,0
1454.40,0,0,0,100,878,100,100,0
1457.21,0,0,0,100,798,100,100,0
1460.00,0,0,0,100,792,100,100,0
1462.82,0,0,0,100,685,100,100,0
1465.62,0,0,0,100,756,100,100,0
1468.42,0,0,0,100,664,100,100,0
1471.22,0,0,0,100,677,100,100,0
1474.04,0,0,0,100,622,100,100,0
1476.84,0,0,0,100,561,100,100,0
1479.63,0,0,0,100,505,100,100,0
1482.43,0,0,0,100,481,100,100,0
1485.23,0,0,0,100,412,100,100,0
1488.04,0,0,0,100,406,100,100,0
1490.84,0,0,0,100,311,100,100,0
1493.65,0,0,0,100,276,100,100,0
1496.46,0,0,0,100,176,100,100,0
1499.27,0,0,0,100,151,100,100,0
1502.06,0,0,0,100,112,100,100,0
1504.86,0,0,0,100,69,100,100,0
1507.61,0,0,0,100,-39,100,100,0
1510.37,0,0,0,100,-99,100,100,0
1513.14,0,0,0,100,-156,100,100,0
1515.96,0,0,0,100,-250,100,100,0
1518.79,0,0,0,100,28,100,100,0
1521.57,0,0,0,100,-147,100,100,0
1524.38,0,0,0,100,-170,100,100,0
1527.20,0,0,0,100,-142,100,100,0
1530.02,0,0,0,100,-234,100,100,0
1532.84,0,0,0,100,-225,100,100,0
1535.66,0,0,0,100,-163,100,100,0
1538.48,0,0,0,100,-124,100,100,0
1541.30,0,0,0,100,-80,100,100,0
1544.09,0,0,0,100,-93,100,100,0
1546.87,0,0,0,100,-146,100,100,0
1549.68,0,0,0,100,-145,100,100,0
1552.52,0,0,0,100,-194,100,100,0
1555.33,0,0,0,100,-212,100,100,0
1558.14,0,0,0,100,-182,100,100,0
1560.96,0,0,0,100,-129,100,100,0
1563.78,0,0,0,100,-158,100,100,0
1566.61,0,0,0,100,-146,100,100,0
1569.44,0,0,0,100,-159,100,100,0
1572.26,0,0,0,100,-172,100,100,0
1575.08,0,0,0,100,-194,100,100,0
1577.90,0,0,0,100,-177,100,100,0
1580.71,0,0,0,100,-159,100,100,0
1583.54,0,0,0,100,-160,100,100,0
1586.35,0,0,0,100,-149,100,100,0
1589.17,0,0,0,100,-171,100,100,0
1591.99,0,0,0,100,-111,100,100,0
1594.82,0,0,0,100,-127,100,100,0
1597.63,0,0,0,100,-131,100,100,0
1600.45,0,0,0,100,-123,100,100,0
1603.26,0,0,0,100,-135,100,100,0
1606.08,0,0,0,100,-112,100,100,0
1608.90,0,0,0,100,-46,100,100,0
1611.68,0,0,0,100,-91,100,100,0
1614.46,0,0,0,100,-59,100,100,0
1617.23,0,0,0,100,-86,100,100,0
1620.02,0,0,0,100,-77,100,100,0
1622.79,0,0,0,100,-42,100,100,0
1625.56,0,0,0,100,-33,100,100,0
1628.34,0,0,0,100,-48,100,100,0
1631.10,0,0,0,100,-48,100,100,0
1633.86,0,0,0,100,-49,100,100,0
1636.64,0,0,0,100,-7,100,100,0
1639.37,0,0,0,100,-32,100,100,0
1642.14,0,0,0,100,-43,100,100,0
1644.91,0,0,0,100,-61,100,100,0
1647.69,0,0,0,100,-27,100,100,0
1650.47,0,0,0,100,0,100,100,0
1653.19,0,0,0,100,-25,100,100,0
1655.95,0,0,0,100,-8,100,100,0
1658.66,0,0,0,100,0,100,100,0
1661.38,0,0,0,100,-22,100,100,0
1664.15,0,0,0,100,-41,100,100,0
1666.93,0,0,0,100,-18,100,100,0
1669.71,0,0,0,100,0,100,100,0
1672.41,0,0,0,100,3,100,100,0
1675.13,0,0,0,100,18,100,100,0
1677.88,0,0,0,100,5,100,100,0
1680.59,0,0,0,100,-17,100,100,0
1683.38,0,0,0,100,456,100,100,0
1686.20,0,0,0,100,213,100,100,0
1689.00,0,0,0,100,-99,100,100,0
1691.77,0,0,0,100,-41,100,100,0
1694.54,0,0,0,100,109,100,100,0
1697.35,0,0,0,100,422,100,100,0
1700.15,0,0,0,100,287,100,100,0
1702.96,0,0,0,100,398,100,100,0
1705.74,0,0,0,100,303,100,100,0
1708.57,0,0,0,100,336,100,100,0
1711.37,0,0,0,100,369,100,100,0
1714.17,0,0,0,100,516,100,100,0
1716.98,0,0,0,100,478,100,100,0
1719.78,0,0,0,100,487,100,100,0
1722.59,0,0,0,100,617,100,100,0
1725.38,0,0,0,100,623,100,100,0
1728.16,0,0,0,100,597,100,100,0
1730.96,0,0,0,100,598,100,100,0
1733.77,0,0,0,100,592,100,100,0
1736.57,0,0,0,100,620,100,100,0
1739.37,0,0,0,100,662,100,100,0
1742.17,0,0,0,100,699,100,100,0
1744.98,0,0,0,100,632,100,100,0
1747.78,0,0,0,100,537,100,100,0
1750.58,0,0,0,100,573,100,100,0
1753.38,0,0,0,100,610,100,100,0
1756.18,0,0,0,100,646,100,100,0
1758.98,0,0,0,100,593,100,100,0
1761.80,0,0,0,100,526,100,100,0
1764.61,0,0,0,100,394,100,100,0
1767.42,0,0,0,100,391,100,100,0
